Activation,Architecture,Batch Size,Epochs,Accuracy,Precision,Recall,F1 Score
logistic,"(5,)",10,1000,0.8266666666666667,0.8368743573581119,0.8266666666666667,0.8208451899546819
logistic,"(5,)",10,2000,0.8266666666666667,0.8368743573581119,0.8266666666666667,0.8208451899546819
logistic,"(5,)",10,3000,0.8266666666666667,0.8368743573581119,0.8266666666666667,0.8208451899546819
logistic,"(5,)",10,4000,0.8266666666666667,0.8368743573581119,0.8266666666666667,0.8208451899546819
logistic,"(5,)",10,5000,0.8266666666666667,0.8368743573581119,0.8266666666666667,0.8208451899546819
logistic,"(5,)",50,1000,0.8088888888888889,0.8099095768532228,0.8088888888888889,0.8029866511129357
logistic,"(5,)",50,2000,0.8088888888888889,0.8099095768532228,0.8088888888888889,0.8029866511129357
logistic,"(5,)",50,3000,0.8088888888888889,0.8099095768532228,0.8088888888888889,0.8029866511129357
logistic,"(5,)",50,4000,0.8088888888888889,0.8099095768532228,0.8088888888888889,0.8029866511129357
logistic,"(5,)",50,5000,0.8088888888888889,0.8099095768532228,0.8088888888888889,0.8029866511129357
logistic,"(5,)",100,1000,0.8066666666666666,0.8069290604365231,0.8066666666666666,0.802305103259942
logistic,"(5,)",100,2000,0.8066666666666666,0.8069290604365231,0.8066666666666666,0.802305103259942
logistic,"(5,)",100,3000,0.8066666666666666,0.8069290604365231,0.8066666666666666,0.802305103259942
logistic,"(5,)",100,4000,0.8066666666666666,0.8069290604365231,0.8066666666666666,0.802305103259942
logistic,"(5,)",100,5000,0.8066666666666666,0.8069290604365231,0.8066666666666666,0.802305103259942
logistic,"(5,)",200,1000,0.8155555555555556,0.8072029828683633,0.8155555555555556,0.8039581733843089
logistic,"(5,)",200,2000,0.8088888888888889,0.7972348942551385,0.8088888888888889,0.7971327233787646
logistic,"(5,)",200,3000,0.8088888888888889,0.7972348942551385,0.8088888888888889,0.7971327233787646
logistic,"(5,)",200,4000,0.8088888888888889,0.7972348942551385,0.8088888888888889,0.7971327233787646
logistic,"(5,)",200,5000,0.8088888888888889,0.7972348942551385,0.8088888888888889,0.7971327233787646
logistic,"(10,)",10,1000,0.9022222222222223,0.9072056737466516,0.9022222222222223,0.903078396413017
logistic,"(10,)",10,2000,0.9022222222222223,0.9072056737466516,0.9022222222222223,0.903078396413017
logistic,"(10,)",10,3000,0.9022222222222223,0.9072056737466516,0.9022222222222223,0.903078396413017
logistic,"(10,)",10,4000,0.9022222222222223,0.9072056737466516,0.9022222222222223,0.903078396413017
logistic,"(10,)",10,5000,0.9022222222222223,0.9072056737466516,0.9022222222222223,0.903078396413017
logistic,"(10,)",50,1000,0.9,0.9030561705363908,0.9,0.8994053877909035
logistic,"(10,)",50,2000,0.9,0.9030561705363908,0.9,0.8994053877909035
logistic,"(10,)",50,3000,0.9,0.9030561705363908,0.9,0.8994053877909035
logistic,"(10,)",50,4000,0.9,0.9030561705363908,0.9,0.8994053877909035
logistic,"(10,)",50,5000,0.9,0.9030561705363908,0.9,0.8994053877909035
logistic,"(10,)",100,1000,0.9177777777777778,0.9191167835995423,0.9177777777777778,0.9173843852641594
logistic,"(10,)",100,2000,0.9177777777777778,0.9191167835995423,0.9177777777777778,0.9173843852641594
logistic,"(10,)",100,3000,0.9177777777777778,0.9191167835995423,0.9177777777777778,0.9173843852641594
logistic,"(10,)",100,4000,0.9177777777777778,0.9191167835995423,0.9177777777777778,0.9173843852641594
logistic,"(10,)",100,5000,0.9177777777777778,0.9191167835995423,0.9177777777777778,0.9173843852641594
logistic,"(10,)",200,1000,0.9177777777777778,0.9192195767195767,0.9177777777777778,0.9167469226176537
logistic,"(10,)",200,2000,0.9088888888888889,0.91014907768704,0.9088888888888889,0.9082041989280998
logistic,"(10,)",200,3000,0.9088888888888889,0.91014907768704,0.9088888888888889,0.9082041989280998
logistic,"(10,)",200,4000,0.9088888888888889,0.91014907768704,0.9088888888888889,0.9082041989280998
logistic,"(10,)",200,5000,0.9088888888888889,0.91014907768704,0.9088888888888889,0.9082041989280998
logistic,"(5, 3)",10,1000,0.6688888888888889,0.6566899191928325,0.6688888888888889,0.6610423521964102
logistic,"(5, 3)",10,2000,0.6688888888888889,0.6566899191928325,0.6688888888888889,0.6610423521964102
logistic,"(5, 3)",10,3000,0.6688888888888889,0.6566899191928325,0.6688888888888889,0.6610423521964102
logistic,"(5, 3)",10,4000,0.6688888888888889,0.6566899191928325,0.6688888888888889,0.6610423521964102
logistic,"(5, 3)",10,5000,0.6688888888888889,0.6566899191928325,0.6688888888888889,0.6610423521964102
logistic,"(5, 3)",50,1000,0.6555555555555556,0.6406826975523139,0.6555555555555556,0.6458819585632117
logistic,"(5, 3)",50,2000,0.6555555555555556,0.6406826975523139,0.6555555555555556,0.6458819585632117
logistic,"(5, 3)",50,3000,0.6555555555555556,0.6406826975523139,0.6555555555555556,0.6458819585632117
logistic,"(5, 3)",50,4000,0.6555555555555556,0.6406826975523139,0.6555555555555556,0.6458819585632117
logistic,"(5, 3)",50,5000,0.6555555555555556,0.6406826975523139,0.6555555555555556,0.6458819585632117
logistic,"(5, 3)",100,1000,0.6711111111111111,0.6586725376645278,0.6711111111111111,0.6622741400872871
logistic,"(5, 3)",100,2000,0.6711111111111111,0.6586725376645278,0.6711111111111111,0.6622741400872871
logistic,"(5, 3)",100,3000,0.6711111111111111,0.6586725376645278,0.6711111111111111,0.6622741400872871
logistic,"(5, 3)",100,4000,0.6711111111111111,0.6586725376645278,0.6711111111111111,0.6622741400872871
logistic,"(5, 3)",100,5000,0.6711111111111111,0.6586725376645278,0.6711111111111111,0.6622741400872871
logistic,"(5, 3)",200,1000,0.6666666666666666,0.6541887150899963,0.6666666666666666,0.6586463794822808
logistic,"(5, 3)",200,2000,0.6666666666666666,0.6541887150899963,0.6666666666666666,0.6586463794822808
logistic,"(5, 3)",200,3000,0.6666666666666666,0.6541887150899963,0.6666666666666666,0.6586463794822808
logistic,"(5, 3)",200,4000,0.6666666666666666,0.6541887150899963,0.6666666666666666,0.6586463794822808
logistic,"(5, 3)",200,5000,0.6666666666666666,0.6541887150899963,0.6666666666666666,0.6586463794822808
logistic,"(10, 5)",10,1000,0.9266666666666666,0.9311825396825396,0.9266666666666666,0.9249810811540226
logistic,"(10, 5)",10,2000,0.9266666666666666,0.9311825396825396,0.9266666666666666,0.9249810811540226
logistic,"(10, 5)",10,3000,0.9266666666666666,0.9311825396825396,0.9266666666666666,0.9249810811540226
logistic,"(10, 5)",10,4000,0.9266666666666666,0.9311825396825396,0.9266666666666666,0.9249810811540226
logistic,"(10, 5)",10,5000,0.9266666666666666,0.9311825396825396,0.9266666666666666,0.9249810811540226
logistic,"(10, 5)",50,1000,0.9177777777777778,0.9202627288853704,0.9177777777777778,0.9167250496989074
logistic,"(10, 5)",50,2000,0.9177777777777778,0.9202627288853704,0.9177777777777778,0.9167250496989074
logistic,"(10, 5)",50,3000,0.9177777777777778,0.9202627288853704,0.9177777777777778,0.9167250496989074
logistic,"(10, 5)",50,4000,0.9177777777777778,0.9202627288853704,0.9177777777777778,0.9167250496989074
logistic,"(10, 5)",50,5000,0.9177777777777778,0.9202627288853704,0.9177777777777778,0.9167250496989074
logistic,"(10, 5)",100,1000,0.9311111111111111,0.9309230996295158,0.9311111111111111,0.9306775955187339
logistic,"(10, 5)",100,2000,0.9311111111111111,0.9309230996295158,0.9311111111111111,0.9306775955187339
logistic,"(10, 5)",100,3000,0.9311111111111111,0.9309230996295158,0.9311111111111111,0.9306775955187339
logistic,"(10, 5)",100,4000,0.9311111111111111,0.9309230996295158,0.9311111111111111,0.9306775955187339
logistic,"(10, 5)",100,5000,0.9311111111111111,0.9309230996295158,0.9311111111111111,0.9306775955187339
logistic,"(10, 5)",200,1000,0.9311111111111111,0.9310669348157479,0.9311111111111111,0.9307460912302741
logistic,"(10, 5)",200,2000,0.9311111111111111,0.9310669348157479,0.9311111111111111,0.9307460912302741
logistic,"(10, 5)",200,3000,0.9311111111111111,0.9310669348157479,0.9311111111111111,0.9307460912302741
logistic,"(10, 5)",200,4000,0.9311111111111111,0.9310669348157479,0.9311111111111111,0.9307460912302741
logistic,"(10, 5)",200,5000,0.9311111111111111,0.9310669348157479,0.9311111111111111,0.9307460912302741
logistic,"(15, 10, 5)",10,1000,0.9133333333333333,0.9130619634602685,0.9133333333333333,0.9124479149663703
logistic,"(15, 10, 5)",10,2000,0.9133333333333333,0.9130619634602685,0.9133333333333333,0.9124479149663703
logistic,"(15, 10, 5)",10,3000,0.9133333333333333,0.9130619634602685,0.9133333333333333,0.9124479149663703
